species,acid,cost_type,cost,usage
kluyveri,ala,sul-abs,0.0,0.0580291222641824
kluyveri,ala,amm-rel,0.4588,0.0580291222641824
kluyveri,ala,glu-rel,0.229400333,0.0580291222641824
kluyveri,ala,amm-abs,1.0,0.0580291222641824
kluyveri,leu,akashi,27.3,0.0972370363964241
kluyveri,leu,sul-rel,0.0,0.0972370363964241
kluyveri,leu,weight,131.2,0.0972370363964241
kluyveri,leu,glu-abs,1.207193333,0.0972370363964241
kluyveri,leu,sul-abs,0.0,0.0972370363964241
kluyveri,leu,amm-rel,0.296398667,0.0972370363964241
kluyveri,leu,glu-rel,0.357813333,0.0972370363964241
